Model,AUC,ExecutionTime,seed,fraction,drops,useclass,noise,n_jobs
RandomForest,0.886,5.998,1,1.0,0,True,0,1
RandomForest,0.883,3.682,1,1.0,0,True,0,2
RandomForest,0.89,2.666,1,1.0,0,True,0,4
RandomForest,0.882,4.119,1,1.0,0,True,0,8
RandomForest,0.884,4.85,1,1.0,0,True,0,16
RandomForest,0.872,4.82,1,1.0,0,True,0,32
RandomForest,0.874,4.358,1,1.0,0,True,0,64
RandomForest,0.873,3.633,1,0.5,0,True,0,1
RandomForest,0.86,2.9,1,0.5,0,True,0,2
RandomForest,0.871,2.711,1,0.5,0,True,0,4
RandomForest,0.881,3.575,1,0.5,0,True,0,8
RandomForest,0.885,4.419,1,0.5,0,True,0,16
RandomForest,0.89,4.201,1,0.5,0,True,0,32
RandomForest,0.883,3.992,1,0.5,0,True,0,64
RandomForest,0.888,2.499,1,0.25,0,True,0,1
RandomForest,0.886,2.258,1,0.25,0,True,0,2
RandomForest,0.873,2.75,1,0.25,0,True,0,4
RandomForest,0.874,3.484,1,0.25,0,True,0,8
RandomForest,0.868,3.922,1,0.25,0,True,0,16
RandomForest,0.882,3.905,1,0.25,0,True,0,32
RandomForest,0.882,3.749,1,0.25,0,True,0,64
RandomForest,0.891,2.033,1,0.125,0,True,0,1
RandomForest,0.875,2.256,1,0.125,0,True,0,2
RandomForest,0.874,3.436,1,0.125,0,True,0,4
RandomForest,0.878,3.377,1,0.125,0,True,0,8
RandomForest,0.871,3.632,1,0.125,0,True,0,16
RandomForest,0.877,3.489,1,0.125,0,True,0,32
RandomForest,0.872,2.688,1,0.125,0,True,0,64
RandomForest,0.88,1.499,1,0.062,0,True,0,1
RandomForest,0.877,2.373,1,0.062,0,True,0,2
RandomForest,0.886,3.263,1,0.062,0,True,0,4
RandomForest,0.891,3.391,1,0.062,0,True,0,8
RandomForest,0.859,3.692,1,0.062,0,True,0,16
RandomForest,0.887,3.23,1,0.062,0,True,0,32
RandomForest,0.888,3.679,1,0.062,0,True,0,64
RandomForest,0.893,1.313,1,0.031,0,True,0,1
RandomForest,0.884,2.291,1,0.031,0,True,0,2
RandomForest,0.897,2.903,1,0.031,0,True,0,4
RandomForest,0.901,3.145,1,0.031,0,True,0,8
RandomForest,0.871,3.336,1,0.031,0,True,0,16
RandomForest,0.882,3.33,1,0.031,0,True,0,32
RandomForest,0.878,2.734,1,0.031,0,True,0,64
RandomForest,0.881,1.188,1,0.016,0,True,0,1
RandomForest,0.899,2.499,1,0.016,0,True,0,2
RandomForest,0.882,3.147,1,0.016,0,True,0,4
RandomForest,0.898,3.369,1,0.016,0,True,0,8
RandomForest,0.911,3.279,1,0.016,0,True,0,16
RandomForest,0.903,3.16,1,0.016,0,True,0,32
RandomForest,0.885,2.749,1,0.016,0,True,0,64
RandomForest,0.858,5.908,2,1.0,0,True,0,1
RandomForest,0.896,3.855,2,1.0,0,True,0,2
RandomForest,0.88,2.688,2,1.0,0,True,0,4
RandomForest,0.883,3.67,2,1.0,0,True,0,8
RandomForest,0.894,4.885,2,1.0,0,True,0,16
RandomForest,0.874,4.621,2,1.0,0,True,0,32
RandomForest,0.87,4.082,2,1.0,0,True,0,64
RandomForest,0.874,3.799,2,0.5,0,True,0,1
RandomForest,0.859,2.788,2,0.5,0,True,0,2
RandomForest,0.877,2.691,2,0.5,0,True,0,4
RandomForest,0.864,3.94,2,0.5,0,True,0,8
RandomForest,0.872,4.253,2,0.5,0,True,0,16
RandomForest,0.878,4.146,2,0.5,0,True,0,32
RandomForest,0.876,2.928,2,0.5,0,True,0,64
RandomForest,0.897,2.54,2,0.25,0,True,0,1
RandomForest,0.882,2.329,2,0.25,0,True,0,2
RandomForest,0.883,3.273,2,0.25,0,True,0,4
RandomForest,0.899,3.205,2,0.25,0,True,0,8
RandomForest,0.883,3.766,2,0.25,0,True,0,16
RandomForest,0.879,3.587,2,0.25,0,True,0,32
RandomForest,0.878,2.654,2,0.25,0,True,0,64
RandomForest,0.905,1.942,2,0.125,0,True,0,1
