AUC,ExecutionTime,seed,fraction,drops,noise,Runs,Model,useclass
0.91,0.036,42,1.0,0,0.0,20,LogisticRegression,True
0.91,0.031,42,1.0,1,0.0,20,LogisticRegression,True
0.91,0.041,42,1.0,2,0.0,20,LogisticRegression,True
0.91,0.029,42,1.0,3,0.0,20,LogisticRegression,True
0.91,0.031,42,1.0,4,0.0,20,LogisticRegression,True
0.874,0.883,42,1.0,0,0.0,20,RandomForest,True
0.88,0.773,42,1.0,1,0.0,20,RandomForest,True
0.882,0.785,42,1.0,2,0.0,20,RandomForest,True
0.885,0.833,42,1.0,3,0.0,20,RandomForest,True
0.881,0.794,42,1.0,4,0.0,20,RandomForest,True
0.916,0.869,42,1.0,0,0.0,20,GradientBoosting,True
0.915,0.804,42,1.0,1,0.0,20,GradientBoosting,True
0.915,0.795,42,1.0,2,0.0,20,GradientBoosting,True
0.916,0.746,42,1.0,3,0.0,20,GradientBoosting,True
0.915,0.709,42,1.0,4,0.0,20,GradientBoosting,True
0.916,0.345,42,1.0,0,0.0,20,AdaBoost,True
0.916,0.328,42,1.0,1,0.0,20,AdaBoost,True
0.916,0.296,42,1.0,2,0.0,20,AdaBoost,True
0.916,0.321,42,1.0,3,0.0,20,AdaBoost,True
0.916,0.273,42,1.0,4,0.0,20,AdaBoost,True
0.798,0.03,42,1.0,0,0.0,20,Decision Tree,True
0.797,0.027,42,1.0,1,0.0,20,Decision Tree,True
0.78,0.035,42,1.0,2,0.0,20,Decision Tree,True
0.798,0.025,42,1.0,3,0.0,20,Decision Tree,True
0.794,0.027,42,1.0,4,0.0,20,Decision Tree,True
0.917,4.951,42,1.0,0,0.0,20,NeuralNetwork,True
0.918,5.079,42,1.0,1,0.0,20,NeuralNetwork,True
0.918,4.463,42,1.0,2,0.0,20,NeuralNetwork,True
0.918,4.748,42,1.0,3,0.0,20,NeuralNetwork,True
0.918,5.398,42,1.0,4,0.0,20,NeuralNetwork,True
0.663,17.723,42,1.0,0,0.0,20,SVM,True
0.616,16.493,42,1.0,1,0.0,20,SVM,True
0.684,16.314,42,1.0,2,0.0,20,SVM,True
0.627,17.506,42,1.0,3,0.0,20,SVM,True
0.67,14.642,42,1.0,4,0.0,20,SVM,True
0.91,0.034,42,1.0,0,0.0,20,LogisticRegression,True
0.91,0.031,42,1.0,1,0.0,20,LogisticRegression,True
0.91,0.039,42,1.0,2,0.0,20,LogisticRegression,True
0.91,0.03,42,1.0,3,0.0,20,LogisticRegression,True
0.91,0.028,42,1.0,4,0.0,20,LogisticRegression,True
0.875,0.979,42,1.0,0,0.0,20,RandomForest,True
0.882,0.766,42,1.0,1,0.0,20,RandomForest,True
0.878,0.78,42,1.0,2,0.0,20,RandomForest,True
0.881,0.823,42,1.0,3,0.0,20,RandomForest,True
0.884,0.822,42,1.0,4,0.0,20,RandomForest,True
0.916,0.813,42,1.0,0,0.0,20,GradientBoosting,True
0.916,0.785,42,1.0,1,0.0,20,GradientBoosting,True
0.915,0.788,42,1.0,2,0.0,20,GradientBoosting,True
0.915,0.756,42,1.0,3,0.0,20,GradientBoosting,True
0.916,0.702,42,1.0,4,0.0,20,GradientBoosting,True
0.915,0.389,42,1.0,0,0.0,20,AdaBoost,True
0.916,0.338,42,1.0,1,0.0,20,AdaBoost,True
0.916,0.338,42,1.0,2,0.0,20,AdaBoost,True
0.916,0.316,42,1.0,3,0.0,20,AdaBoost,True
0.916,0.304,42,1.0,4,0.0,20,AdaBoost,True
0.789,0.029,42,1.0,0,0.0,20,Decision Tree,True
0.8,0.029,42,1.0,1,0.0,20,Decision Tree,True
0.802,0.027,42,1.0,2,0.0,20,Decision Tree,True
0.774,0.03,42,1.0,3,0.0,20,Decision Tree,True
0.781,0.026,42,1.0,4,0.0,20,Decision Tree,True
0.917,4.875,42,1.0,0,0.0,20,NeuralNetwork,True
0.918,4.865,42,1.0,1,0.0,20,NeuralNetwork,True
0.919,4.715,42,1.0,2,0.0,20,NeuralNetwork,True
0.918,4.753,42,1.0,3,0.0,20,NeuralNetwork,True
0.918,4.983,42,1.0,4,0.0,20,NeuralNetwork,True
0.629,18.008,42,1.0,0,0.0,20,SVM,True
0.631,17.748,42,1.0,1,0.0,20,SVM,True
0.632,16.644,42,1.0,2,0.0,20,SVM,True
0.64,16.159,42,1.0,3,0.0,20,SVM,True
0.721,14.886,42,1.0,4,0.0,20,SVM,True
0.692,0.044,42,1.0,0,1.0,20,LogisticRegression,True
0.692,0.036,42,1.0,1,1.0,20,LogisticRegression,True
0.692,0.03,42,1.0,2,1.0,20,LogisticRegression,True
0.692,0.028,42,1.0,3,1.0,20,LogisticRegression,True
0.692,0.027,42,1.0,4,1.0,20,LogisticRegression,True
0.691,0.474,42,1.0,0,1.0,20,RandomForest,True
0.689,0.48,42,1.0,1,1.0,20,RandomForest,True
0.69,0.468,42,1.0,2,1.0,20,RandomForest,True
0.688,0.452,42,1.0,3,1.0,20,RandomForest,True
0.689,0.523,42,1.0,4,1.0,20,RandomForest,True
0.69,0.637,42,1.0,0,1.0,20,GradientBoosting,True
0.689,0.589,42,1.0,1,1.0,20,GradientBoosting,True
0.691,0.567,42,1.0,2,1.0,20,GradientBoosting,True
0.691,0.549,42,1.0,3,1.0,20,GradientBoosting,True
0.689,0.523,42,1.0,4,1.0,20,GradientBoosting,True
0.691,0.334,42,1.0,0,1.0,20,AdaBoost,True
0.691,0.301,42,1.0,1,1.0,20,AdaBoost,True
0.691,0.3,42,1.0,2,1.0,20,AdaBoost,True
0.691,0.279,42,1.0,3,1.0,20,AdaBoost,True
0.691,0.304,42,1.0,4,1.0,20,AdaBoost,True
0.69,0.023,42,1.0,0,1.0,20,Decision Tree,True
0.689,0.019,42,1.0,1,1.0,20,Decision Tree,True
0.691,0.019,42,1.0,2,1.0,20,Decision Tree,True
0.691,0.02,42,1.0,3,1.0,20,Decision Tree,True
0.687,0.019,42,1.0,4,1.0,20,Decision Tree,True
0.692,2.598,42,1.0,0,1.0,20,NeuralNetwork,True
0.692,2.379,42,1.0,1,1.0,20,NeuralNetwork,True
0.692,2.848,42,1.0,2,1.0,20,NeuralNetwork,True
0.692,2.304,42,1.0,3,1.0,20,NeuralNetwork,True
0.692,2.319,42,1.0,4,1.0,20,NeuralNetwork,True
0.535,14.728,42,1.0,0,1.0,20,SVM,True
0.515,14.421,42,1.0,1,1.0,20,SVM,True
